Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021,,,,
Symbol,Company Name,Weight,Identifier,Shares Held
BEN,FRANKLIN RES INC,0.03%,2733557,
AIZ,Assurant Inc.,0.03%,580172,
DISCK,Discovery Communications Inc.,0.03%,2902540,
KIM,Kimco Realty Corporation,0.03%,4332318,
DVA,DAVITA HEALTHCARE PARTNE 5.75 08/15/2022,0.03%,723649,
ALK,ALASKA AIR GRO,0.02%,1244329,
HII,Huntington Ingalls Ind,0.02%,403210,
SEE,Sealed Air Corp,0.02%,1552235,
JNPR,Juniper Networks Inc,0.02%,3288111,
NRG,NRG ENERGY,0.02%,2451002,
PBCT,Peoples United Financial Inc,0.02%,4262514,
PVH,PVH Corp,0.02%,712172,
APA,APA Corp.,0.02%,3785568,
FRT,FED REALTY INVS,0.02%,695736,
ROL,Rollins Inc,0.02%,2218393,
LEG,Leggett & Platt Inc,0.02%,1332211,
COG,Cabot Oil & Gas Corp,0.02%,4000922,
IPGP,IPG Photonics Co,0.02%,360125,
VNO,Vornado Realty Trust,0.02%,1572120,
GPS,GAP INC,0.02%,2060624,
HBI,Hanesbrands Inc,0.02%,3494002,
NOV,National Oilwell Varco Inc,0.02%,3888770,
RL,Ralph Lauren Corp,0.02%,483354,
UNM,Unum Group,0.02%,2040667,
PRGO,Perrigo Co,0.02%,1333651,
FOX,Fox Corp,0.02%,1540283,
DISCA,DISCOVERY COMM,0.02%,1618686,
HFC,HollyFrontier Corp,0.01%,1496664,
UAA,UNDER ARMOUR A,0.01%,1893863,
UA,UNDER ARMOUR C,0.01%,1965360,
NWS,News Corp,0.01%,1229722,
SPY,SPDR S&P 500 ETF Trust,0.00%,0,
Downloaded from Barchart.com as of 05-21-2021 10:56am CDT,,,,
